,region,department,overseas,city,station,latitude,longitude
76,ILE-DE-FRANCE,ESSONNE,False,BOIS-HERPIN,Zone rurale Sud&FR04066,48.364166,2.236944
77,ILE-DE-FRANCE,SEINE-ET-MARNE,False,MELUN,MELUN&FR04069,48.54139,2.661389
78,ILE-DE-FRANCE,PARIS,False,PARIS 6E ARRONDISSEMENT,Rue Bonaparte&FR04071,48.856388,2.335278
79,ILE-DE-FRANCE,SEINE-ET-MARNE,False,LOGNES,LOGNES&FR04098,48.84028,2.635278
80,ILE-DE-FRANCE,VAL-DE-MARNE,False,NOGENT-SUR-MARNE,NOGENT-SUR-MARNE&FR04099,48.840557,2.484444
81,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,VILLEMOMBLE,VILLEMOMBLE&FR04100,48.881947,2.507222
82,ILE-DE-FRANCE,VAL-DE-MARNE,False,CHAMPIGNY-SUR-MARNE,CHAMPIGNY-SUR-MARNE&FR04101,48.816387,2.5175
83,ILE-DE-FRANCE,PARIS,False,PARIS 2E ARRONDISSEMENT,Place de l'Opéra&FR04118,48.870274,2.3325
84,ILE-DE-FRANCE,SEINE-ET-MARNE,False,MELUN,RN6-MELUN&FR04122,48.528057,2.653611
85,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,PANTIN,RN2-PANTIN&FR04123,48.90222,2.390833
86,ILE-DE-FRANCE,PARIS,False,PARIS 9E ARRONDISSEMENT,Boulevard Haussmann&FR04131,48.873333,2.330278
87,ILE-DE-FRANCE,PARIS,False,PARIS 12E ARRONDISSEMENT,Boulevard Soult&FR04135,48.83796,2.408061
88,ILE-DE-FRANCE,PARIS,False,PARIS 4E ARRONDISSEMENT,Quai des Celestins&FR04141,48.85278,2.360556
89,ILE-DE-FRANCE,SEINE-ET-MARNE,False,MONTGÉ-EN-GOËLE,Zone Rurale Nord-Est&FR04142,49.028057,2.750278
90,ILE-DE-FRANCE,ESSONNE,False,MONTGERON,MONTGERON&FR04149,48.7067,2.4572
91,ILE-DE-FRANCE,HAUTS-DE-SEINE,False,PUTEAUX,LA DEFENSE&FR04150,48.891388,2.240556
92,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,BOBIGNY,BOBIGNY&FR04156,48.902504,2.4525
93,ILE-DE-FRANCE,VAL-D'OISE,False,FRÉMAINVILLE,Zone Rurale NO&FR04158,49.063087,1.866381
94,ILE-DE-FRANCE,SEINE-ET-MARNE,False,COULOMMIERS,RD934 Coulommiers&FR04173,48.8059,3.084158
95,ILE-DE-FRANCE,PARIS,False,PARIS 15E ARRONDISSEMENT,PARIS Stade Lenglen&FR04179,48.830387,2.269889
96,ILE-DE-FRANCE,ESSONNE,False,MONTLHÉRY,RN20 - MONTLHERY&FR04180,48.64093,2.26872
97,ILE-DE-FRANCE,YVELINES,False,RAMBOUILLET,RAMBOUILLET&FR04181,48.63373,1.830529
98,ILE-DE-FRANCE,SEINE-ET-MARNE,False,BAGNEAUX-SUR-LOING,BAGNEAUX-SUR-LOING&FR04184,48.231475,2.70617777777777
99,ILE-DE-FRANCE,SEINE-ET-MARNE,False,POMMEUSE,POMMEUSE&FR04185,48.8158806,2.99124722222222
100,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,TREMBLAY-EN-FRANCE,TREMBLAY-EN-FRANCE&FR04319,48.95555,2.575278
101,ILE-DE-FRANCE,ESSONNE,False,ÉVRY-COURCOURONNES ,EVRY&FR04323,48.62722,2.429167
102,ILE-DE-FRANCE,SEINE-ET-MARNE,False,BEAUTHEIL-SAINTS ,Zone Rurale Est&FR04324,48.761665,3.058333
103,ILE-DE-FRANCE,SEINE-ET-MARNE,False,FONTAINEBLEAU,Zone Rurale SE&FR04328,48.3547,2.6453
104,ILE-DE-FRANCE,PARIS,False,PARIS 12E ARRONDISSEMENT,Bld peripherique Est&FR04329,48.838615,2.412781
105,ILE-DE-FRANCE,YVELINES,False,LIMAY,LIMAY&FR04331,48.985523,1.754142
106,NORMANDIE,SEINE-MARITIME,False,SAINT-ROMAIN-DE-COLBOSC,St Romain de Colbosc&FR05010,49.528927,0.358733
107,NORMANDIE,SEINE-MARITIME,False,LE HAVRE,Caucriauville&FR05037,49.503906,0.175731
108,NORMANDIE,CALVADOS,False,HONFLEUR,Honfleur Sce Tech.&FR05040,49.415108,0.2437
109,NORMANDIE,EURE,False,QUILLEBEUF-SUR-SEINE,Quillebeuf Phare&FR05056,49.47372,0.526158
110,NORMANDIE,SEINE-MARITIME,False,TANCARVILLE,Tancarville Mairie&FR05069,49.487682,0.451756
111,NORMANDIE,SEINE-MARITIME,False,HARFLEUR,Harfleur Ecole Coty&FR05070,49.505,0.201694
112,NORMANDIE,SEINE-MARITIME,False,SAINTE-ADRESSE,Sainte Adresse&FR05072,49.50386,0.084614
113,NORMANDIE,SEINE-MARITIME,False,LE HAVRE,Le Havre Ec. Herriot&FR05074,49.48963,0.100703
114,NORMANDIE,SEINE-MARITIME,False,LE HAVRE,Le Havre Massillon&FR05078,49.4983,0.142706
115,NORMANDIE,SEINE-MARITIME,False,ROGERVILLE,Rogerville Mairie&FR05080,49.50362,0.266872
116,NORMANDIE,SEINE-MARITIME,False,LA CERLANGUE,La Cerlangue&FR05081,49.504036,0.411594
117,NORMANDIE,CALVADOS,False,TOUQUES,Touques&FR05082,49.348,0.109253
118,NORMANDIE,SEINE-MARITIME,False,GONFREVILLE-L'ORCHER,Gonfreville l Orcher&FR05083,49.50273,0.232486
119,NORMANDIE,SEINE-MARITIME,False,PORT-JÉRÔME-SUR-SEINE,NDGravenchon Pasteur&FR05084,49.493332,0.571853
120,NORMANDIE,SEINE-MARITIME,False,LILLEBONNE,Lillebonne&FR05085,49.512146,0.539036
121,NORMANDIE,SEINE-MARITIME,False,NOTRE-DAME-DE-BLIQUETUIT,Maison Parc Brotonne&FR05087,49.498295,0.758833
122,NORMANDIE,SEINE-MARITIME,False,FÉCAMP,Fécamp&FR05088,49.75,0.4159
123,NORMANDIE,SEINE-MARITIME,False,LE HAVRE,Le Havre Lafaurie-montant&FR05089,49.500187,0.110903
124,NORMANDIE,SEINE-MARITIME,False,LE HAVRE,Le Havre ville-haute&FR05090,49.514686,0.100645
125,NORMANDIE,SEINE-MARITIME,False,GONFREVILLE-L'ORCHER,Gonfreville l Orcher Côte Blanche&FR05500,49.4989,0.2296
126,NORMANDIE,SEINE-MARITIME,False,ROGERVILLE,Gonfreville Pissotière à Madame&FR05501,49.4975,0.2531
127,NORMANDIE,EURE,False,QUILLEBEUF-SUR-SEINE,Quillebeuf sur Seine rue Féret&FR05502,49.4675,0.531
128,NORMANDIE,SEINE-MARITIME,False,PORT-JÉRÔME-SUR-SEINE,Notre Dame de Gravenchon Prevert&FR05503,49.4811,0.574611
129,HAUTS-DE-FRANCE,NORD,False,VALENCIENNES,Valenciennes Acacias&FR06001,50.35853,3.50804
130,HAUTS-DE-FRANCE,NORD,False,DOUAI,Douai Theuriet&FR06003,50.37822,3.06586
131,HAUTS-DE-FRANCE,NORD,False,VALENCIENNES,Valenciennes Wallon&FR06006,50.36425,3.52273
132,HAUTS-DE-FRANCE,NORD,False,MAUBEUGE,Maubeuge Joyeuse&FR06007,50.27936,3.97691
133,HAUTS-DE-FRANCE,NORD,False,DENAIN,Denain Villars&FR06011,50.32276,3.39593
134,HAUTS-DE-FRANCE,NORD,False,CARTIGNIES,Cartignies&FR06133,50.09225,3.85003
135,HAUTS-DE-FRANCE,NORD,False,SAINT-AMAND-LES-EAUX,Saint Amand&FR06134,50.45647,3.42794
136,AUVERGNE-RHONE-ALPES,PUY-DE-DÔME,False,CLERMONT-FERRAND,Montferrand&FR07004,45.79728,3.113833
137,AUVERGNE-RHONE-ALPES,PUY-DE-DÔME,False,CLERMONT-FERRAND,Jardin Lecoq&FR07009,45.772167,3.0875
138,AUVERGNE-RHONE-ALPES,ALLIER,False,PARAY-LE-FRÉSIL,Paray le Fresil&FR07022,46.652668,3.600667
139,AUVERGNE-RHONE-ALPES,PUY-DE-DÔME,False,LES ANCIZES-COMPS,Les Ancizes&FR07028,45.929333,2.829806
140,AUVERGNE-RHONE-ALPES,CANTAL,False,RAGEADE,Rageade&FR07031,45.10472,3.277361
141,AUVERGNE-RHONE-ALPES,PUY-DE-DÔME,False,CLERMONT-FERRAND,Clermont-Esplanade Gare&FR07034,45.775696,3.09625
142,AUVERGNE-RHONE-ALPES,PUY-DE-DÔME,False,CHAMALIÈRES,Chamalières Europe&FR07039,45.774728,3.062978
143,AUVERGNE-RHONE-ALPES,ALLIER,False,VILLENEUVE-SUR-ALLIER,Villeneuve sur Allier&FR07048,46.659048,3.249247
